phase,cell,item,prompt,predicted,correct,len,ans_len,rt_v1,eg_v2,ih_v2,degenerate,repeated,unclosed_think
A,envelope_baseline_qwen3-4b_rt-eval,rt-p06,Compare two hypotheses for why aging exists.,rt_score=1.55,,9170,4782,1.550387596899225,-2.3255813953488373,0.0,False,False,False
A,envelope_baseline_qwen3-4b_rt-eval,rt-p14,Explain why people remember emotionally charged events better than mundane ones.,rt_score=3.28,,8220,3433,3.284072249589491,0.8210180623973727,0.0,False,False,False
A,envelope_baseline_qwen3-4b_rt-eval,rt-p16,Work out why ice cubes float while most solid forms of substances sink in their liquids.,rt_score=2.60,,4618,1694,2.6007802340702213,3.9011703511053315,0.0,False,False,False
A,envelope_baseline_qwen3-4b_rt-eval,rt-p19,Reason through why bridges built in the 1950s need different retrofits than ones built in the 1980s.,rt_score=0.76,,9228,4393,0.7633587786259541,2.290076335877863,0.0,False,False,False
A,envelope_baseline_qwen3-4b_rt-eval,rt-p24,Compare what you'd expect from slow vs fast sea-level rise.,rt_score=2.44,,8411,4291,2.444987775061125,1.6299918500407498,2.444987775061125,False,False,False
A,envelope_qwen3-4b_vRT_L13_a2_rt-eval,rt-p06,Compare two hypotheses for why aging exists.,rt_score=0.72,,9580,5441,0.7189072609633358,0.0,0.0,False,False,False
A,envelope_qwen3-4b_vRT_L13_a2_rt-eval,rt-p14,Explain why people remember emotionally charged events better than mundane ones.,rt_score=1.78,,7646,3528,1.779359430604982,0.0,0.0,False,False,False
A,envelope_qwen3-4b_vRT_L13_a2_rt-eval,rt-p16,Work out why ice cubes float while most solid forms of substances sink in their liquids.,rt_score=4.40,,5522,1987,4.4004400440044,2.2002200220022,0.0,False,False,False
A,envelope_qwen3-4b_vRT_L13_a2_rt-eval,rt-p19,Reason through why bridges built in the 1950s need different retrofits than ones built in the 1980s.,rt_score=1.37,,9705,2540,1.36986301369863,2.054794520547945,2.054794520547945,False,False,False
A,envelope_qwen3-4b_vRT_L13_a2_rt-eval,rt-p24,Compare what you'd expect from slow vs fast sea-level rise.,rt_score=1.49,,9110,4768,1.4936519790888725,2.987303958177745,2.2404779686333085,False,False,False
A,envelope_qwen3-4b_vRT_L13_a4_rt-eval,rt-p06,Compare two hypotheses for why aging exists.,rt_score=0.78,,8736,4203,0.78064012490242,-0.78064012490242,0.0,False,False,False
A,envelope_qwen3-4b_vRT_L13_a4_rt-eval,rt-p14,Explain why people remember emotionally charged events better than mundane ones.,rt_score=1.31,,10292,4433,1.314060446780552,0.0,0.0,False,False,False
A,envelope_qwen3-4b_vRT_L13_a4_rt-eval,rt-p16,Work out why ice cubes float while most solid forms of substances sink in their liquids.,rt_score=2.47,,4848,1895,2.4691358024691357,0.0,0.0,False,False,False
A,envelope_qwen3-4b_vRT_L13_a4_rt-eval,rt-p19,Reason through why bridges built in the 1950s need different retrofits than ones built in the 1980s.,rt_score=2.13,,9479,3077,2.130681818181818,2.130681818181818,0.0,False,False,False
A,envelope_qwen3-4b_vRT_L13_a4_rt-eval,rt-p24,Compare what you'd expect from slow vs fast sea-level rise.,rt_score=0.69,,9340,3405,0.6882312456985547,5.849965588437715,0.0,False,False,False
A,envelope_qwen3-4b_vRT_L13_a6_rt-eval,rt-p06,Compare two hypotheses for why aging exists.,rt_score=2.05,,9839,4646,2.0463847203274215,1.364256480218281,0.0,False,False,False
A,envelope_qwen3-4b_vRT_L13_a6_rt-eval,rt-p14,Explain why people remember emotionally charged events better than mundane ones.,rt_score=2.62,,7624,3565,2.6200873362445414,0.8733624454148472,0.0,False,False,False
A,envelope_qwen3-4b_vRT_L13_a6_rt-eval,rt-p16,Work out why ice cubes float while most solid forms of substances sink in their liquids.,rt_score=2.51,,4777,1627,2.509410288582183,0.0,0.0,False,False,False
A,envelope_qwen3-4b_vRT_L13_a6_rt-eval,rt-p19,Reason through why bridges built in the 1950s need different retrofits than ones built in the 1980s.,rt_score=1.40,,9465,3084,1.4015416958654519,2.102312543798178,0.0,False,False,False
A,envelope_qwen3-4b_vRT_L13_a6_rt-eval,rt-p24,Compare what you'd expect from slow vs fast sea-level rise.,rt_score=0.66,,9217,1737,0.6600660066006601,13.201320132013201,0.0,False,False,False
A,envelope_qwen3-4b_vRT_L13_a8_rt-eval,rt-p06,Compare two hypotheses for why aging exists.,rt_score=0.00,,9297,4806,0.0,2.1459227467811157,0.0,False,False,False
A,envelope_qwen3-4b_vRT_L13_a8_rt-eval,rt-p14,Explain why people remember emotionally charged events better than mundane ones.,rt_score=2.16,,9372,3669,2.155172413793103,1.4367816091954022,0.0,False,False,False
A,envelope_qwen3-4b_vRT_L13_a8_rt-eval,rt-p16,Work out why ice cubes float while most solid forms of substances sink in their liquids.,rt_score=1.07,,5665,1912,1.0672358591248667,0.0,0.0,False,False,False
A,envelope_qwen3-4b_vRT_L13_a8_rt-eval,rt-p19,Reason through why bridges built in the 1950s need different retrofits than ones built in the 1980s.,rt_score=1.39,,9519,4437,1.389854065323141,4.169562195969423,0.0,False,False,False
A,envelope_qwen3-4b_vRT_L13_a8_rt-eval,rt-p24,Compare what you'd expect from slow vs fast sea-level rise.,rt_score=0.69,,9281,3179,0.6872852233676976,2.7491408934707904,0.0,False,False,False
A,envelope_qwen3-4b_vRT_L14_a2_rt-eval,rt-p06,Compare two hypotheses for why aging exists.,rt_score=0.00,,10225,4702,0.0,6.064690026954178,0.0,False,False,False
A,envelope_qwen3-4b_vRT_L14_a2_rt-eval,rt-p14,Explain why people remember emotionally charged events better than mundane ones.,rt_score=2.82,,7277,3702,2.819548872180451,-1.8796992481203008,0.0,False,False,False
A,envelope_qwen3-4b_vRT_L14_a2_rt-eval,rt-p16,Work out why ice cubes float while most solid forms of substances sink in their liquids.,rt_score=2.54,,4664,1575,2.5412960609911055,0.0,0.0,False,False,False
A,envelope_qwen3-4b_vRT_L14_a2_rt-eval,rt-p19,Reason through why bridges built in the 1950s need different retrofits than ones built in the 1980s.,rt_score=1.43,,9493,3303,1.4295925661186561,2.144388849177984,0.0,False,False,False
A,envelope_qwen3-4b_vRT_L14_a2_rt-eval,rt-p24,Compare what you'd expect from slow vs fast sea-level rise.,rt_score=2.14,,9547,4769,2.142857142857143,2.857142857142857,2.142857142857143,False,False,False
A,envelope_qwen3-4b_vRT_L14_a4_rt-eval,rt-p06,Compare two hypotheses for why aging exists.,rt_score=1.37,,9935,4685,1.36986301369863,-0.684931506849315,0.0,False,False,False
A,envelope_qwen3-4b_vRT_L14_a4_rt-eval,rt-p14,Explain why people remember emotionally charged events better than mundane ones.,rt_score=3.54,,7644,3284,3.5398230088495577,0.0,0.0,False,False,False
A,envelope_qwen3-4b_vRT_L14_a4_rt-eval,rt-p16,Work out why ice cubes float while most solid forms of substances sink in their liquids.,rt_score=3.49,,5169,1816,3.488372093023256,0.0,0.0,False,False,False
A,envelope_qwen3-4b_vRT_L14_a4_rt-eval,rt-p19,Reason through why bridges built in the 1950s need different retrofits than ones built in the 1980s.,rt_score=2.91,,9565,3571,2.9069767441860463,0.0,4.3604651162790695,False,False,False
A,envelope_qwen3-4b_vRT_L14_a4_rt-eval,rt-p24,Compare what you'd expect from slow vs fast sea-level rise.,rt_score=1.99,,10068,4359,1.9893899204244032,3.9787798408488064,1.9893899204244032,False,False,False
A,envelope_qwen3-4b_vRT_L14_a6_rt-eval,rt-p06,Compare two hypotheses for why aging exists.,rt_score=1.31,,9805,2655,1.3063357282821686,-2.612671456564337,0.0,True,False,False
A,envelope_qwen3-4b_vRT_L14_a6_rt-eval,rt-p14,Explain why people remember emotionally charged events better than mundane ones.,rt_score=1.45,,9360,4509,1.4461315979754157,0.0,0.0,False,False,False
A,envelope_qwen3-4b_vRT_L14_a6_rt-eval,rt-p16,Work out why ice cubes float while most solid forms of substances sink in their liquids.,rt_score=4.49,,5294,1754,4.489337822671156,10.101010101010102,0.0,False,False,False
A,envelope_qwen3-4b_vRT_L14_a6_rt-eval,rt-p19,Reason through why bridges built in the 1950s need different retrofits than ones built in the 1980s.,rt_score=2.26,,9436,3910,2.2624434389140275,0.0,0.0,False,False,False
